,date,new_diagnoses,new_known_deaths,new_hospitalizations,dose1,dose2,booster1,booster2
0,2021-05-01,,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-05-02,,0.0,0.0,2245.0,0.0,0.0,0.0
2,2021-05-03,,0.0,0.0,4528.0,0.0,0.0,0.0
3,2021-05-04,,0.0,0.0,14299.0,683.0,0.0,0.0
4,2021-05-05,,0.0,0.0,30342.0,1275.0,0.0,0.0
5,2021-05-06,,0.0,0.0,36176.0,1164.0,0.0,0.0
6,2021-05-07,18.0,0.0,0.0,16787.0,1437.0,0.0,0.0
7,2021-05-08,,0.0,0.0,17708.0,124.0,0.0,0.0
8,2021-05-09,,0.0,0.0,4993.0,245.0,0.0,0.0
9,2021-05-10,,0.0,0.0,11109.0,335.0,0.0,0.0
10,2021-05-11,,0.0,0.0,10747.0,317.0,0.0,0.0
11,2021-05-12,,0.0,0.0,14828.0,1374.0,0.0,0.0
12,2021-05-13,6.0,0.0,0.0,8984.0,1128.0,0.0,0.0
13,2021-05-14,,0.0,0.0,5178.0,59.0,0.0,0.0
14,2021-05-15,,0.0,0.0,3309.0,1470.0,0.0,0.0
15,2021-05-16,,0.0,0.0,1794.0,49.0,0.0,0.0
16,2021-05-17,,0.0,0.0,3140.0,288.0,0.0,0.0
17,2021-05-18,1.0,0.0,0.0,973.0,2.0,0.0,0.0
18,2021-05-19,,0.0,0.0,2493.0,2.0,0.0,0.0
19,2021-05-20,3.0,0.0,0.0,2722.0,2.0,0.0,0.0
20,2021-05-21,,0.0,0.0,1642.0,56.0,0.0,0.0
21,2021-05-22,1.0,0.0,0.0,987.0,0.0,0.0,0.0
22,2021-05-23,,0.0,0.0,,,,
23,2021-05-24,1.0,0.0,0.0,2953.0,0.0,0.0,0.0
24,2021-05-25,1.0,0.0,0.0,413.0,-539.0,0.0,0.0
25,2021-05-26,,0.0,0.0,632.0,19.0,0.0,0.0
26,2021-05-27,65.0,0.0,0.0,375.0,7.0,0.0,0.0
27,2021-05-28,48.0,0.0,0.0,28.0,0.0,0.0,0.0
28,2021-05-29,59.0,0.0,0.0,30.0,0.0,0.0,0.0
29,2021-05-30,60.0,0.0,0.0,,,,
30,2021-05-31,23.0,0.0,0.0,30.0,0.0,0.0,0.0
31,2021-06-01,35.0,0.0,0.0,60.0,0.0,0.0,0.0
32,2021-06-02,49.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-06-03,27.0,1.0,0.0,0.0,0.0,0.0,0.0
34,2021-06-04,59.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-06-05,41.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2021-06-06,39.0,0.0,0.0,1348.0,10.0,0.0,0.0
37,2021-06-07,104.0,0.0,0.0,1222.0,3.0,0.0,0.0
38,2021-06-08,66.0,0.0,0.0,1359.0,0.0,0.0,0.0
39,2021-06-09,67.0,0.0,0.0,6516.0,44.0,0.0,0.0
40,2021-06-10,127.0,0.0,0.0,7920.0,331.0,0.0,0.0
41,2021-06-11,97.0,0.0,0.0,4133.0,883.0,0.0,0.0
42,2021-06-12,165.0,0.0,0.0,842.0,1.0,0.0,0.0
43,2021-06-13,111.0,0.0,0.0,3127.0,10.0,0.0,0.0
44,2021-06-14,170.0,0.0,0.0,6482.0,203.0,0.0,0.0
45,2021-06-15,106.0,0.0,0.0,12324.0,565.0,0.0,0.0
46,2021-06-16,203.0,0.0,0.0,31516.0,4012.0,0.0,0.0
47,2021-06-17,183.0,0.0,0.0,45822.0,10430.0,0.0,0.0
48,2021-06-18,201.0,1.0,0.0,94281.0,8957.0,0.0,0.0
49,2021-06-19,173.0,0.0,0.0,46525.0,5596.0,0.0,0.0
50,2021-06-20,224.0,0.0,0.0,27250.0,972.0,0.0,0.0
51,2021-06-21,424.0,2.0,0.0,40607.0,5071.0,0.0,0.0
52,2021-06-22,192.0,2.0,0.0,65107.0,2103.0,0.0,0.0
53,2021-06-23,438.0,1.0,0.0,67935.0,2294.0,0.0,0.0
54,2021-06-24,224.0,0.0,0.0,184738.0,3076.0,0.0,0.0
55,2021-06-25,485.0,1.0,0.0,131513.0,4640.0,0.0,0.0
56,2021-06-26,325.0,2.0,0.0,170507.0,3310.0,0.0,0.0
57,2021-06-27,368.0,2.0,0.0,60312.0,282.0,0.0,0.0
58,2021-06-28,520.0,0.0,0.0,79356.0,3709.0,0.0,0.0
59,2021-06-29,506.0,1.0,0.0,67139.0,2893.0,0.0,0.0
60,2021-06-30,705.0,1.0,0.0,139657.0,4191.0,0.0,0.0
61,2021-07-01,777.0,4.0,0.0,18915.0,565.0,0.0,0.0
62,2021-07-02,887.0,2.0,0.0,10185.0,3295.0,0.0,0.0
63,2021-07-03,929.0,3.0,0.0,4303.0,259.0,0.0,0.0
64,2021-07-04,1730.0,3.0,0.0,2062.0,2065.0,0.0,0.0
65,2021-07-05,1432.0,9.0,0.0,3800.0,1205.0,0.0,0.0
66,2021-07-06,1044.0,6.0,0.0,3430.0,6320.0,0.0,0.0
67,2021-07-07,2029.0,2.0,0.0,21699.0,3167.0,0.0,0.0
68,2021-07-08,1993.0,4.0,0.0,10220.0,3509.0,0.0,0.0
69,2021-07-09,1479.0,11.0,0.0,6935.0,1658.0,0.0,0.0
70,2021-07-10,1924.0,13.0,0.0,3429.0,1370.0,0.0,0.0
71,2021-07-11,2581.0,11.0,0.0,2558.0,1112.0,0.0,0.0
72,2021-07-12,3454.0,23.0,0.0,2427.0,246.0,0.0,0.0
73,2021-07-13,3437.0,26.0,0.0,2963.0,2369.0,0.0,0.0
74,2021-07-14,4499.0,12.0,0.0,4642.0,940.0,0.0,0.0
75,2021-07-15,3358.0,17.0,0.0,4202.0,937.0,0.0,0.0
76,2021-07-16,4143.0,22.0,0.0,6033.0,1419.0,0.0,0.0
77,2021-07-17,5491.0,29.0,0.0,3426.0,4024.0,0.0,0.0
78,2021-07-18,4550.0,35.0,0.0,1200.0,395.0,0.0,0.0
79,2021-07-19,7012.0,32.0,0.0,5498.0,2281.0,0.0,0.0
80,2021-07-20,6282.0,23.0,0.0,4316.0,6124.0,0.0,0.0
81,2021-07-21,6366.0,54.0,0.0,2938.0,6066.0,0.0,0.0
82,2021-07-22,5309.0,50.0,0.0,2316.0,7248.0,0.0,0.0
83,2021-07-23,6251.0,58.0,0.0,6465.0,9754.0,0.0,0.0
84,2021-07-24,7372.0,55.0,0.0,2848.0,11250.0,0.0,0.0
85,2021-07-25,8784.0,64.0,0.0,4663.0,7043.0,0.0,0.0
86,2021-07-26,7851.0,87.0,0.0,5311.0,8922.0,0.0,0.0
87,2021-07-27,8744.0,70.0,0.0,150902.0,6236.0,0.0,0.0
88,2021-07-28,7658.0,129.0,0.0,129468.0,9328.0,0.0,0.0
89,2021-07-29,7910.0,160.0,0.0,24037.0,18783.0,0.0,0.0
90,2021-07-30,7890.0,161.0,0.0,190007.0,17130.0,0.0,0.0
91,2021-07-31,6673.0,206.0,0.0,35580.0,10433.0,0.0,0.0
92,2021-08-01,7780.0,174.0,0.0,31569.0,2375.0,0.0,0.0
93,2021-08-02,7847.0,205.0,0.0,359626.0,43343.0,0.0,0.0
94,2021-08-03,7412.0,204.0,0.0,237873.0,29098.0,0.0,0.0
95,2021-08-04,8693.0,252.0,0.0,96496.0,14144.0,0.0,0.0
96,2021-08-05,7205.0,389.0,0.0,258005.0,10430.0,0.0,0.0
97,2021-08-06,7923.0,285.0,0.0,295231.0,8612.0,0.0,0.0
98,2021-08-07,7951.0,171.0,0.0,245157.0,6403.0,0.0,0.0
99,2021-08-08,7040.0,312.0,0.0,365984.0,16532.0,0.0,0.0
100,2021-08-09,8549.0,361.0,0.0,402594.0,20291.0,0.0,0.0
101,2021-08-10,13241.0,383.0,0.0,1188697.0,30927.0,0.0,0.0
102,2021-08-11,5811.0,341.0,0.0,522326.0,21210.0,0.0,0.0
103,2021-08-12,9295.0,320.0,0.0,728268.0,16360.0,0.0,0.0
104,2021-08-13,11486.0,270.0,0.0,429737.0,24974.0,0.0,0.0
105,2021-08-14,10490.0,343.0,0.0,264746.0,9242.0,0.0,0.0
106,2021-08-15,8445.0,334.0,0.0,349011.0,6343.0,0.0,0.0
107,2021-08-16,7553.0,360.0,0.0,402218.0,21467.0,0.0,0.0
108,2021-08-17,7583.0,328.0,0.0,207401.0,11637.0,0.0,0.0
109,2021-08-18,9032.0,295.0,0.0,194130.0,19992.0,0.0,0.0
110,2021-08-19,11875.0,378.0,0.0,197791.0,11879.0,0.0,0.0
111,2021-08-20,9907.0,383.0,0.0,55382.0,23201.0,0.0,0.0
112,2021-08-21,12873.0,278.0,0.0,211587.0,20295.0,0.0,0.0
113,2021-08-22,7681.0,455.0,0.0,216512.0,13451.0,0.0,0.0
114,2021-08-23,15258.0,386.0,0.0,125331.0,5934.0,0.0,0.0
115,2021-08-24,11513.0,343.0,0.0,173983.0,24774.0,0.0,0.0
116,2021-08-25,14024.0,329.0,0.0,255383.0,20908.0,0.0,0.0
117,2021-08-26,11743.0,311.0,37993.0,158662.0,19000.0,0.0,0.0
118,2021-08-27,11731.0,343.0,38559.0,174996.0,12771.0,0.0,0.0
119,2021-08-28,11431.0,347.0,39611.0,141025.0,33423.0,0.0,0.0
120,2021-08-29,9312.0,337.0,40259.0,158987.0,13544.0,0.0,0.0
121,2021-08-30,11921.0,308.0,40133.0,135569.0,26976.0,0.0,0.0
122,2021-08-31,11399.0,335.0,57833.0,92522.0,21904.0,0.0,0.0
123,2021-09-01,11973.0,433.0,61839.0,67559.0,19984.0,0.0,0.0
124,2021-09-02,12867.0,279.0,64266.0,99489.0,20903.0,0.0,0.0
125,2021-09-03,11545.0,302.0,75407.0,78480.0,21159.0,0.0,0.0
126,2021-09-04,11148.0,333.0,71016.0,170660.0,41689.0,0.0,0.0
127,2021-09-05,9991.0,277.0,96532.0,318042.0,65289.0,0.0,0.0
128,2021-09-06,12008.0,299.0,78173.0,304184.0,15433.0,0.0,0.0
129,2021-09-07,14189.0,311.0,100858.0,315438.0,28217.0,0.0,0.0
130,2021-09-08,11139.0,334.0,84245.0,219919.0,125652.0,0.0,0.0
131,2021-09-09,13584.0,334.0,86987.0,456046.0,152446.0,0.0,0.0
132,2021-09-10,10900.0,248.0,84691.0,139152.0,173143.0,0.0,0.0
133,2021-09-11,10715.0,303.0,83484.0,235009.0,204837.0,0.0,0.0
134,2021-09-12,12553.0,257.0,83348.0,131961.0,143058.0,0.0,0.0
135,2021-09-13,9349.0,369.0,81370.0,284629.0,195098.0,0.0,0.0
136,2021-09-14,9148.0,273.0,74738.0,193418.0,124256.0,0.0,0.0
137,2021-09-15,10433.0,250.0,82283.0,81762.0,93788.0,0.0,0.0
138,2021-09-16,10515.0,231.0,82073.0,106582.0,126092.0,0.0,0.0
139,2021-09-17,9646.0,206.0,83495.0,82509.0,95063.0,0.0,0.0
140,2021-09-18,10573.0,224.0,79912.0,70300.0,120357.0,0.0,0.0
141,2021-09-19,8417.0,229.0,85589.0,76707.0,69580.0,0.0,0.0
142,2021-09-20,9898.0,211.0,82397.0,97680.0,69763.0,0.0,0.0
143,2021-09-21,8923.0,233.0,96088.0,89932.0,78160.0,0.0,0.0
144,2021-09-22,9525.0,230.0,96993.0,98563.0,65597.0,0.0,0.0
145,2021-09-23,10357.0,231.0,100650.0,83171.0,110308.0,0.0,0.0
146,2021-09-24,7556.0,205.0,94609.0,146966.0,154673.0,0.0,0.0
147,2021-09-25,9499.0,178.0,92996.0,72797.0,242885.0,0.0,0.0
148,2021-09-26,6626.0,180.0,93352.0,60046.0,248165.0,0.0,0.0
149,2021-09-27,9166.0,172.0,91054.0,158009.0,228010.0,0.0,0.0
150,2021-09-28,8189.0,174.0,85894.0,183021.0,242776.0,0.0,0.0
151,2021-09-29,7602.0,162.0,82268.0,91197.0,358957.0,0.0,0.0
152,2021-09-30,6189.0,157.0,97968.0,89587.0,236228.0,0.0,0.0
153,2021-10-01,6043.0,136.0,93699.0,112538.0,210459.0,0.0,0.0
154,2021-10-02,6319.0,159.0,88646.0,231940.0,285884.0,0.0,0.0
155,2021-10-03,4985.0,114.0,59900.0,90604.0,304113.0,0.0,0.0
156,2021-10-04,5625.0,132.0,64805.0,75044.0,495984.0,0.0,0.0
157,2021-10-05,4681.0,135.0,73364.0,302908.0,299507.0,0.0,0.0
158,2021-10-06,4185.0,118.0,52513.0,208162.0,218643.0,0.0,0.0
159,2021-10-07,3847.0,122.0,55998.0,435000.0,511783.0,0.0,0.0
160,2021-10-08,4350.0,120.0,62759.0,207470.0,265200.0,0.0,0.0
161,2021-10-09,4111.0,107.0,58408.0,158527.0,214238.0,0.0,0.0
162,2021-10-10,3373.0,109.0,49739.0,158294.0,316438.0,0.0,0.0
163,2021-10-11,3597.0,102.0,47890.0,186915.0,363596.0,0.0,0.0
164,2021-10-12,3638.0,90.0,45257.0,448229.0,103250.0,0.0,0.0
165,2021-10-13,3619.0,104.0,55637.0,319074.0,71248.0,0.0,0.0
166,2021-10-14,4095.0,83.0,39899.0,646169.0,103951.0,0.0,0.0
167,2021-10-15,3812.0,92.0,34952.0,403088.0,288179.0,0.0,0.0
168,2021-10-16,3443.0,85.0,36861.0,716146.0,132978.0,0.0,0.0
169,2021-10-17,2990.0,58.0,36481.0,737481.0,181009.0,0.0,0.0
170,2021-10-18,3560.0,74.0,46284.0,419123.0,86809.0,0.0,0.0
171,2021-10-19,4183.0,73.0,44122.0,405290.0,173052.0,0.0,0.0
172,2021-10-20,4177.0,73.0,33606.0,546949.0,131228.0,0.0,0.0
173,2021-10-21,3769.0,68.0,31075.0,439419.0,294576.0,0.0,0.0
174,2021-10-22,4092.0,54.0,43287.0,436199.0,326120.0,0.0,0.0
175,2021-10-23,4010.0,71.0,34625.0,178465.0,128263.0,0.0,0.0
176,2021-10-24,3662.0,54.0,42304.0,138405.0,144837.0,0.0,0.0
177,2021-10-25,4867.0,65.0,34000.0,105989.0,111654.0,0.0,0.0
178,2021-10-26,5350.0,61.0,34048.0,179854.0,202285.0,0.0,0.0
179,2021-10-27,4817.0,58.0,36030.0,372280.0,202300.0,0.0,0.0
180,2021-10-28,6262.0,48.0,35888.0,479196.0,406292.0,0.0,0.0
181,2021-10-29,4986.0,60.0,37980.0,410325.0,328827.0,0.0,0.0
182,2021-10-30,6071.0,60.0,38755.0,297160.0,188681.0,0.0,0.0
183,2021-10-31,5768.0,53.0,57319.0,119463.0,128019.0,0.0,0.0
184,2021-11-01,6178.0,53.0,41322.0,331960.0,287151.0,0.0,0.0
185,2021-11-02,7047.0,71.0,36516.0,125193.0,258546.0,0.0,0.0
186,2021-11-03,7816.0,77.0,43561.0,175216.0,133270.0,0.0,0.0
187,2021-11-04,6931.0,60.0,44718.0,128512.0,191929.0,0.0,0.0
188,2021-11-05,6804.0,67.0,47037.0,198231.0,686802.0,0.0,0.0
189,2021-11-06,6943.0,60.0,50398.0,90995.0,343186.0,0.0,0.0
190,2021-11-07,6134.0,53.0,53655.0,75605.0,281780.0,0.0,0.0
191,2021-11-08,7521.0,71.0,53750.0,117671.0,565571.0,0.0,0.0
192,2021-11-09,7739.0,82.0,54540.0,325810.0,496689.0,0.0,0.0
193,2021-11-10,6431.0,77.0,54727.0,270042.0,418370.0,0.0,0.0
194,2021-11-11,7023.0,76.0,53827.0,57231.0,406687.0,0.0,0.0
195,2021-11-12,7546.0,80.0,55865.0,117983.0,639563.0,0.0,0.0
196,2021-11-13,6926.0,87.0,57355.0,141170.0,466663.0,0.0,0.0
197,2021-11-14,7395.0,55.0,59275.0,64016.0,317260.0,0.0,0.0
198,2021-11-15,9407.0,99.0,60421.0,105356.0,212703.0,0.0,0.0
199,2021-11-16,7626.0,88.0,62755.0,215430.0,189720.0,0.0,0.0
200,2021-11-17,8868.0,82.0,73754.0,314459.0,342839.0,0.0,0.0
201,2021-11-18,8444.0,111.0,75708.0,,,,
202,2021-11-19,8662.0,111.0,76329.0,90491.0,428526.0,0.0,0.0
203,2021-11-20,9311.0,96.0,78170.0,,,,
204,2021-11-21,9018.0,130.0,78283.0,125500.0,308507.0,0.0,0.0
205,2021-11-22,11612.0,127.0,80126.0,81277.0,303236.0,0.0,0.0
206,2021-11-23,11913.0,156.0,76703.0,166221.0,415750.0,0.0,0.0
207,2021-11-24,11404.0,160.0,77761.0,195188.0,331006.0,0.0,0.0
208,2021-11-25,12714.0,153.0,85923.0,237812.0,770811.0,0.0,0.0
209,2021-11-26,11700.0,124.0,86593.0,104271.0,346707.0,0.0,0.0
210,2021-11-27,12684.0,156.0,87653.0,55077.0,245994.0,0.0,0.0
211,2021-11-28,11232.0,174.0,86952.0,152751.0,239565.0,0.0,0.0
212,2021-11-29,13440.0,168.0,89946.0,224925.0,312577.0,0.0,0.0
213,2021-11-30,12589.0,193.0,89967.0,115972.0,182116.0,0.0,0.0
214,2021-12-01,11146.0,192.0,89964.0,313644.0,201693.0,0.0,0.0
215,2021-12-02,12858.0,197.0,81782.0,112434.0,117631.0,0.0,0.0
216,2021-12-03,15358.0,197.0,90601.0,18454.0,87427.0,0.0,0.0
217,2021-12-04,11717.0,205.0,87225.0,18005.0,150987.0,0.0,0.0
218,2021-12-05,9911.0,183.0,100304.0,14468.0,119081.0,0.0,0.0
219,2021-12-06,13495.0,225.0,90226.0,80940.0,207567.0,0.0,0.0
220,2021-12-07,10179.0,188.0,88194.0,120287.0,86995.0,0.0,0.0
221,2021-12-08,12892.0,223.0,86353.0,42949.0,195889.0,0.0,0.0
222,2021-12-09,13285.0,254.0,85615.0,138404.0,193536.0,0.0,0.0
223,2021-12-10,10949.0,193.0,81435.0,49390.0,325235.0,0.0,0.0
224,2021-12-11,10384.0,207.0,71066.0,6701.0,63358.0,0.0,0.0
225,2021-12-12,9595.0,218.0,67669.0,26371.0,56780.0,0.0,0.0
226,2021-12-13,10964.0,231.0,71100.0,9510.0,110039.0,0.0,0.0
227,2021-12-14,13066.0,227.0,78900.0,8445.0,76068.0,0.0,0.0
228,2021-12-15,13266.0,260.0,83119.0,20339.0,177702.0,0.0,0.0
229,2021-12-16,10478.0,227.0,14380.0,77193.0,365291.0,15682.0,0.0
230,2021-12-17,12477.0,234.0,14107.0,8849.0,174334.0,12463.0,0.0
231,2021-12-18,10993.0,231.0,13427.0,6692.0,128559.0,8042.0,0.0
232,2021-12-19,8508.0,201.0,13557.0,11283.0,74627.0,53466.0,0.0
233,2021-12-20,10698.0,206.0,12987.0,111688.0,172623.0,27460.0,0.0
234,2021-12-21,10152.0,227.0,12614.0,75490.0,236258.0,63351.0,0.0
235,2021-12-22,9916.0,196.0,12116.0,51763.0,243838.0,29854.0,0.0
236,2021-12-23,8781.0,256.0,11548.0,28330.0,306560.0,107591.0,0.0
237,2021-12-24,9065.0,208.0,11128.0,26071.0,64893.0,85467.0,0.0
238,2021-12-25,7674.0,226.0,10931.0,126895.0,147202.0,85393.0,0.0
239,2021-12-26,6971.0,192.0,10143.0,,,,
240,2021-12-27,8705.0,194.0,9802.0,9833.0,51554.0,128610.0,0.0
241,2021-12-28,8379.0,196.0,9353.0,13770.0,55877.0,144623.0,0.0
242,2021-12-29,9020.0,219.0,8931.0,11546.0,66849.0,222904.0,0.0
243,2021-12-30,8195.0,211.0,8530.0,21579.0,142910.0,236509.0,0.0
244,2021-12-31,6844.0,201.0,7955.0,16720.0,126004.0,210521.0,0.0
245,2022-01-01,6049.0,207.0,7589.0,7584.0,64365.0,62478.0,0.0
246,2022-01-02,5874.0,199.0,7246.0,36779.0,19569.0,118078.0,0.0
247,2022-01-03,6422.0,176.0,7084.0,1518.0,13443.0,101485.0,0.0
248,2022-01-04,6931.0,198.0,6927.0,9804.0,24458.0,186416.0,0.0
249,2022-01-05,6566.0,206.0,6505.0,19152.0,112681.0,296741.0,0.0
250,2022-01-06,5924.0,156.0,6130.0,5879.0,67729.0,149429.0,0.0
251,2022-01-07,5547.0,207.0,5879.0,29233.0,94957.0,638206.0,0.0
252,2022-01-08,5394.0,201.0,5777.0,9525.0,44408.0,278340.0,0.0
253,2022-01-09,3192.0,185.0,5541.0,22281.0,113764.0,393455.0,0.0
254,2022-01-10,5313.0,171.0,5398.0,32995.0,66015.0,344514.0,0.0
255,2022-01-11,5354.0,230.0,5087.0,7542.0,30904.0,230294.0,0.0
256,2022-01-12,4719.0,133.0,4840.0,13145.0,65886.0,271982.0,0.0
257,2022-01-13,5027.0,168.0,4734.0,10285.0,92431.0,275987.0,0.0
258,2022-01-14,4094.0,153.0,4577.0,7775.0,75853.0,284281.0,0.0
259,2022-01-15,3549.0,113.0,4346.0,,,,
260,2022-01-16,3285.0,113.0,4138.0,15054.0,34502.0,251289.0,0.0
261,2022-01-17,3541.0,134.0,4023.0,6678.0,23079.0,236206.0,0.0
262,2022-01-18,3564.0,154.0,3758.0,6010.0,21803.0,279848.0,0.0
263,2022-01-19,2855.0,119.0,3514.0,5316.0,110896.0,175887.0,0.0
264,2022-01-20,2689.0,129.0,3300.0,,,,
265,2022-01-21,2341.0,121.0,3075.0,5140.0,46956.0,203493.0,0.0
266,2022-01-22,1902.0,110.0,2876.0,7746.0,33885.0,296737.0,0.0
267,2022-01-23,1778.0,85.0,2794.0,,,,
268,2022-01-24,2337.0,137.0,2728.0,,,,
269,2022-01-25,1764.0,73.0,2531.0,,,,
270,2022-01-26,1660.0,94.0,2408.0,17785.0,45077.0,141860.0,0.0
271,2022-01-27,1389.0,69.0,2187.0,27129.0,11793.0,174390.0,0.0
272,2022-01-28,1330.0,84.0,578.0,1489.0,5204.0,44519.0,0.0
273,2022-01-29,1053.0,62.0,1905.0,688.0,2380.0,28179.0,0.0
274,2022-01-30,861.0,75.0,1773.0,960.0,1557.0,13498.0,0.0
275,2022-01-31,796.0,59.0,1657.0,504.0,2422.0,18656.0,0.0
276,2022-02-01,550.0,4.0,1558.0,241.0,650.0,4861.0,0.0
277,2022-02-02,793.0,3.0,1497.0,1784.0,4094.0,52287.0,0.0
278,2022-02-03,2074.0,137.0,1509.0,1.0,2.0,10.0,0.0
279,2022-02-04,838.0,46.0,1487.0,39.0,109.0,860.0,0.0
280,2022-02-05,1061.0,48.0,1450.0,55.0,265.0,1389.0,0.0
281,2022-02-06,1085.0,35.0,1441.0,101.0,227.0,2346.0,0.0
282,2022-02-07,1938.0,46.0,1440.0,2057.0,7325.0,87663.0,0.0
283,2022-02-08,1879.0,35.0,660.0,606.0,18642.0,40781.0,0.0
284,2022-02-09,1735.0,38.0,640.0,2090.0,7387.0,44542.0,0.0
285,2022-02-10,1780.0,22.0,637.0,3072.0,12037.0,66631.0,0.0
286,2022-02-11,1609.0,40.0,667.0,714.0,3326.0,24883.0,0.0
287,2022-02-12,1935.0,32.0,693.0,2006.0,7775.0,106597.0,0.0
288,2022-02-13,1691.0,38.0,736.0,1483.0,4713.0,71351.0,0.0
289,2022-02-14,2581.0,33.0,808.0,1804.0,6665.0,62429.0,0.0
290,2022-02-15,2439.0,22.0,829.0,2692.0,9998.0,68039.0,0.0
291,2022-02-16,2600.0,12.0,923.0,155586.0,108573.0,367856.0,0.0
292,2022-02-17,2653.0,26.0,942.0,82457.0,206522.0,302606.0,0.0
293,2022-02-18,3001.0,22.0,1027.0,4076.0,6758.0,118132.0,0.0
294,2022-02-19,2667.0,15.0,1111.0,3062.0,9093.0,62024.0,0.0
295,2022-02-20,3357.0,22.0,1282.0,1256.0,2085.0,11608.0,0.0
296,2022-02-21,5723.0,27.0,1480.0,1926.0,7467.0,93775.0,0.0
297,2022-02-22,6442.0,17.0,1741.0,1561.0,4371.0,54522.0,0.0
298,2022-02-23,7172.0,22.0,2070.0,2964.0,11062.0,74904.0,0.0
299,2022-02-24,8489.0,19.0,0.0,3333.0,6489.0,37250.0,0.0
300,2022-02-25,8469.0,13.0,0.0,2007.0,7498.0,51307.0,0.0
301,2022-02-26,8057.0,18.0,0.0,1152.0,4272.0,26170.0,0.0
302,2022-02-27,8009.0,18.0,0.0,1056.0,3573.0,70627.0,0.0
303,2022-02-28,14670.0,18.0,0.0,48544.0,216678.0,501925.0,0.0
304,2022-03-01,13901.0,12.0,0.0,2615.0,7332.0,92462.0,0.0
305,2022-03-02,15860.0,26.0,0.0,3939.0,6064.0,85958.0,0.0
306,2022-03-03,18618.0,19.0,0.0,2947.0,5600.0,82867.0,0.0
307,2022-03-04,16136.0,14.0,0.0,107947.0,166820.0,159722.0,0.0
308,2022-03-05,13890.0,12.0,0.0,991.0,4334.0,48213.0,0.0
309,2022-03-06,14592.0,12.0,0.0,1361.0,22487.0,150823.0,0.0
310,2022-03-07,23145.0,19.0,0.0,8579.0,18564.0,98088.0,0.0
311,2022-03-08,21288.0,13.0,0.0,2691.0,4139.0,61755.0,0.0
312,2022-03-09,23320.0,27.0,0.0,1349.0,2777.0,39431.0,0.0
313,2022-03-10,24157.0,14.0,0.0,2403.0,17627.0,91827.0,0.0
314,2022-03-11,23137.0,13.0,0.0,9510.0,32200.0,164075.0,0.0
315,2022-03-12,20040.0,16.0,0.0,617.0,1893.0,21457.0,0.0
