,day,cases
0,0,1
1,1,4
2,2,5
3,3,4
4,4,4
5,5,5
6,6,7
7,7,9
8,8,14
9,9,14
10,10,18
11,11,25
12,12,28
13,13,35
14,14,45
15,15,58
16,16,64
17,17,83
18,18,88
19,19,109
20,20,145
21,21,180
22,22,194
23,23,212
24,24,243
25,25,259
26,26,272
27,27,272
28,28,254
29,29,237
30,30,219
31,31,196
32,32,174
33,33,159
34,34,137
35,35,119
36,36,103
37,37,84
38,38,72
39,39,61
40,40,55
41,41,45
42,42,37
43,43,30
44,44,24
45,45,21
46,46,17
47,47,15
48,48,12
49,49,11
50,50,9
51,51,9
52,52,7
53,53,6
54,54,6
55,55,4
56,56,4
57,57,3
58,58,2
59,59,2
60,60,1
61,61,2
62,62,2
63,63,1
64,64,1
65,65,1
66,66,1
67,67,1
68,68,0
69,69,0
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
96,96,0
97,97,0
98,98,0
99,99,0
